State,High school graduation,Median household income,Violent crime
AK,,69192,322.06
AK,,74088,317.35
AK,0.718,71094,840.06
AK,0.73,76362,823.16
AK,0.408,41722,
AK,0.442,42876,
AK,,47498,
AK,,47930,
AK,0.676,63979,
AK,0.663,67204,
AK,,49890,541.11
AK,,55295,413.84
AK,0.72,76967,460.03
AK,0.7,83642,425.5
AK,0.73,60431,
AK,0.79,61629,
AK,0.675,61296,370.89
AK,0.77,62619,351.61
AK,0.78,61498,
AK,0.8,64782,
AK,,44657,
AK,,43936,
AK,0.7,68109,
AK,0.72,72371,
AK,0.593,47022,
AK,0.605,46471,
AK,0.575,69138,921.62
AK,0.575,74174,813.43
AK,0.475,52945,
AK,0.525,54600,
AK,,44721,
AK,,48175,
AK,0.846,61771,249.87
AK,0.826,66038,226.11
AK,,48137,
AK,,49138,
AK,0.643,56456,
AK,0.508,54922,
AK,,65098,459.06
AK,0.872,63541,343.61
AK,0.457,32860,
AK,0.439,31274,
AK,0.826,53745,381.38
AK,,54624,266.39
AK,0.509,33998,
AK,0.526,35114,
AL,0.8,51441,302.91
AL,0.81,51868,253.64
AL,0.74,48867,213.3
AL,0.74,47539,220.67
AL,0.606,30287,154.33
AL,0.697,30981,146.89
AL,0.73,37392,254.24
AL,0.8,39781,235.95
AL,0.81,44225,164.46
AL,0.851,44392,219.03
AL,0.725,25854,333.96
AL,0.725,25937,283.35
AL,0.72,30605,452.92
AL,0.66,31041,483.04
AL,0.787,39212,553.33
AL,0.818,37898,504.52
AL,0.8,32320,575.7
AL,0.759,33883,553.46
AL,0.72,37868,335.88
AL,0.74,37478,374.37
AL,0.73,39621,692.29
AL,0.76,41348,407.4
AL,0.775,33390,111.71
AL,0.775,33581,110.94
AL,0.779,34606,491.47
AL,0.734,34593,464.12
AL,0.825,34579,287.42
AL,0.775,33344,313.03
AL,0.92,38235,284.18
AL,0.89,40407,224.33
AL,0.848,45631,343.89
AL,0.85,44666,363.9
AL,0.756,39771,364.67
AL,0.78,40032,372.9
AL,0.775,27110,603.53
AL,0.825,27196,612.84
AL,0.475,32960,269.81
AL,0.775,35175,290.92
AL,0.77,34017,311.85
AL,0.805,35187,242.18
AL,0.875,33648,357.87
AL,0.925,34105,441.53
AL,0.769,37938,181.25
AL,0.83,40142,201.19
AL,0.766,40125,417.94
AL,0.767,41805,395.76
AL,0.71,27400,794.32
AL,0.723,27524,781.84
AL,0.86,37644,169.35
AL,0.838,36713,243.43
AL,0.744,52324,142.74
AL,0.745,51650,178.73
AL,0.765,33588,537.7
AL,0.77,33455,564.87
AL,0.75,35737,434.65
AL,0.765,38587,497.87
AL,0.825,35720,138.94
AL,0.775,35661,173.68
AL,0.854,33173,275.89
AL,0.86,33332,380.02
AL,0.766,33347,352.5
AL,0.83,35378,320.11
AL,0.675,24592,1111.29
AL,0.625,25864,1113.41
AL,0.67,31025,415.06
AL,0.71,33597,169.64
AL,0.72,37108,311.42
AL,0.7,41590,318.2
