State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
FL,South,South Atlantic,Alachua County,12001,12001,Region 15,1/1/2014,7187.0,0.146,3.5,3.3,0.09,0.144,0.252,6.599,0.214,0.709,0.141,0.261,689.8,20.4,0.204,136.0,146.0,371.0,59.19,0.85,0.67,0.645,0.747,0.066,0.269,,0.384,,702.21,61.4,11.62,0.031,0.24,0.73,0.222,251417,0.014,0.212,0.072,383.1,354.6,10.1,81.7,0.192,0.072,13.71,8.49,0.233,0.108,9515.0,0.128,195.0,41297,0.409,4.63,0.207
FL,South,South Atlantic,Alachua County,12001,12001,Region 15,1/1/2015,6743.0,0.146,3.5,3.3,0.09,0.144,0.246,6.2,0.207,0.853,0.141,0.289,749.8,20.4,0.204,134.0,158.0,464.0,58.38,0.84,0.65,0.704,0.753,0.054,0.257,6.295,0.39,9.466,625.64,59.1,11.62,0.002,0.246,0.73,0.222,253451,0.013,0.212,0.073,383.1,335.9,9.5,79.8,0.191,0.072,12.37,8.94,0.233,0.102,9610.0,0.128,211.0,39614,0.411,4.5,
FL,South,South Atlantic,Baker County,12003,12003,Region 15,1/1/2014,10435.0,0.289,7.5,4.7,0.1,0.202,0.367,6.614,0.321,0.441,0.119,0.351,335.1,67.5,0.179,26.0,27.0,82.0,92.07,0.77,0.6,0.65,0.338,0.078,0.261,,0.323,,206.2,96.4,12.01,0.0,0.124,0.834,0.513,27086,0.002,0.595,0.134,380.0,494.8,8.6,85.6,0.162,0.128,27.51,24.21,0.223,0.087,12896.0,0.17,37.0,45721,0.404,7.15,0.209
FL,South,South Atlantic,Baker County,12003,12003,Region 15,1/1/2015,9702.0,0.289,7.5,4.7,0.09,0.202,0.371,6.4,0.327,0.54,0.119,0.389,461.5,65.4,0.17,33.0,41.0,100.0,80.16,0.77,0.64,0.73,0.363,0.067,0.256,4.232,0.301,9.23,204.57,76.9,12.01,0.0,0.165,0.853,0.51,27013,0.001,0.595,0.138,380.0,456.7,10.1,92.8,0.158,0.128,28.88,19.79,0.213,0.079,13241.0,0.17,48.0,46505,0.472,6.1,
FL,South,South Atlantic,Bay County,12005,12005,Region 16,1/1/2014,8802.0,0.171,5.6,5.6,0.09,0.245,0.285,6.983,0.246,0.472,0.211,0.408,385.0,54.6,0.21,57.0,43.0,170.0,74.38,0.75,0.62,0.68,0.598,0.083,0.26,,0.343,,549.44,81.3,12.44,0.104,0.165,0.818,0.246,171903,0.009,0.12,0.103,265.8,434.4,8.8,61.0,0.16,0.096,20.6,15.84,0.246,0.111,11812.0,0.239,90.0,45259,0.461,5.89,0.207
FL,South,South Atlantic,Bay County,12005,12005,Region 16,1/1/2015,8475.0,0.171,5.6,5.6,0.08,0.245,0.287,6.6,0.253,0.784,0.211,0.375,377.5,53.8,0.196,53.0,46.0,207.0,69.37,0.75,0.62,0.74,0.598,0.068,0.284,4.05,0.351,9.133,517.59,77.7,12.44,0.311,0.169,0.833,0.262,174987,0.01,0.12,0.104,265.8,425.6,6.6,61.5,0.164,0.096,17.78,14.12,0.23,0.102,11657.0,0.239,99.0,45249,0.435,6.9,
FL,South,South Atlantic,Bradford County,12007,12007,Region 15,1/1/2014,10110.0,0.147,3.7,5.0,0.1,0.132,0.357,7.624,0.311,0.372,0.159,0.286,566.3,72.7,0.2,25.0,16.0,13.0,125.7,0.83,0.66,0.61,0.38,0.072,0.345,,0.353,,413.81,101.5,11.78,0.0,0.152,0.819,0.394,27049,0.006,0.755,0.133,484.1,491.0,,91.2,0.166,0.023,32.07,21.54,0.238,0.104,10846.0,,59.0,38680,0.57,,
FL,South,South Atlantic,Bradford County,12007,12007,Region 15,1/1/2015,9173.0,0.147,3.7,5.0,0.11,0.132,0.359,7.2,0.311,0.821,0.159,0.281,591.5,70.0,0.193,37.0,22.0,15.0,110.33,0.82,0.67,0.64,0.39,0.057,0.291,4.542,0.316,11.091,398.35,101.6,11.78,0.0,0.156,0.827,0.417,26850,0.006,0.755,0.137,484.1,456.0,8.4,84.9,0.169,0.023,26.62,23.61,0.232,0.093,11445.0,,67.0,40668,0.586,,
FL,South,South Atlantic,Brevard County,12009,12009,Region 15,1/1/2014,7701.0,0.14,4.3,4.3,0.08,0.218,0.284,7.026,0.251,0.755,0.197,0.326,293.1,30.7,0.205,72.0,52.0,122.0,60.8,0.84,0.66,0.81,0.643,0.092,0.232,,0.336,,616.96,79.4,10.68,0.108,0.173,0.829,0.293,547307,0.013,0.051,0.124,250.7,358.7,7.0,54.8,0.152,0.108,14.55,22.63,0.239,0.107,10808.0,0.178,66.0,46332,0.355,5.25,0.192
FL,South,South Atlantic,Brevard County,12009,12009,Region 15,1/1/2015,7962.0,0.14,4.3,4.3,0.08,0.218,0.289,6.7,0.25,0.909,0.197,0.325,321.2,28.9,0.199,72.0,55.0,144.0,56.97,0.85,0.66,0.85,0.646,0.079,0.219,4.401,0.347,7.784,572.6,82.6,10.68,0.189,0.174,0.829,0.29,550823,0.013,0.051,0.122,250.7,369.1,6.7,59.2,0.152,0.108,13.42,22.43,0.232,0.102,11027.0,0.178,72.0,46677,0.378,6.1,
